Location ID;Name;County;State Code;State;Zip Codes;Type;Latitude;Longitude;Area Code;Population;Households;Median Income;Land Area;Water Area;Time Zone
A100;Bridgeport;Fairfield County;CT;Connecticut;06604 06605 06606 06607 06608 06610 06611 6601 6602 6673 6699;City;41,16704;-73,20483;203;147629;50367;41801;41591056;8721419;America/New York
A101;Bridgeport (Town);Fairfield County;CT;Connecticut;06604 06605 06606 06607 06608 06610 06611 6601 6602 6673 6699;Town;41,18739;-73,19576;203;147629;50367;41801;41591056;8721419;America/New York
A102;Hartford;Hartford County;CT;Connecticut;06103 06105 06106 06110 06112 06114 06117 06120 06160 6102 6104 6115 6123 6126 6132 6134 6140 6141 6142 6143 6144 6145 6146 6147 6150 6151 6153 6154 6155 6156 6160 6161 6167 6176 6180 6183;City;41,76371;-72,68509;959;124006;45239;30630;45016120;1748078;America/New York
A103;Hartford (Town);Hartford County;CT;Connecticut;06103 06105 06106 06110 06112 06114 06117 06120 06160 6102 6104 6115 6123 6126 6132 6134 6140 6141 6142 6143 6144 6145 6146 6147 6150 6151 6153 6154 6155 6156 6160 6161 6167 6176 6180 6183;Town;41,76593;-72,68158;959;124006;45239;30630;45016120;1748078;America/New York
A104;New Haven;New Haven County;CT;Connecticut;06510 06511 06512 06513 06515 06519 6501 6502 6503 6504 6505 6506 6507 6508 6509 6520 6521 6530 6531 6532 6533 6534 6535 6536 6537 6538 6540;City;41,30815;-72,92816;203;130322;49771;37192;48407373;3739487;America/New York
A105;New Haven (Town);New Haven County;CT;Connecticut;06510 06511 06512 06513 06515 06519 6501 6502 6503 6504 6505 6506 6507 6508 6509 6520 6521 6530 6531 6532 6533 6534 6535 6536 6537 6538 6540;Town;41,31081;-72,92495;203;130322;49771;37192;48407373;3739487;America/New York
A106;Stamford;Fairfield County;CT;Connecticut;06831 06901 06902 06903 06905 06906 06907 6904 6911 6912 6913 6914 6920 6921 6922 6925 6926 6927 6928;City;41,05343;-73,53873;203;128874;46974;79359;97430571;37323740;America/New York
A107;Stamford (Town);Fairfield County;CT;Connecticut;06831 06901 06902 06903 06905 06906 06907 6904 6911 6912 6913 6914 6920 6921 6922 6925 6926 6927 6928;Town;41,07986;-73,54603;203;128874;46974;79359;97430571;37323740;America/New York
A108;Waterbury;New Haven County;CT;Connecticut;06702 06704 06705 06706 06708 06710 06770 6701 6703 6720 6721 6722 6723 6724 6725 6726 6749;City;41,55815;-73,0515;203;108802;40213;40467;73880017;1086045;America/New York
A109;Waterbury (Town);New Haven County;CT;Connecticut;06702 06704 06705 06706 06708 06710 06770 6701 6703 6720 6721 6722 6723 6724 6725 6726 6749;Town;41,5585;-73,03668;203;108802;40213;40467;73880017;1086045;America/New York
A110;Brandon;Hillsborough County;FL;Florida;33508 33509 33510 33511 33527 33578 33584 33594 33596 33619;CDP;27,9378;-82,28592;813;106604;40453;56464;85738633;4903052;America/New York
A111;Cape Coral;Lee County;FL;Florida;33903 33904 33909 33910 33914 33915 33955 33990 33991 33993;City;26,56285;-81,94953;941;175229;58967;50536;273544395;35010453;America/New York
A112;Clearwater;Pinellas County;FL;Florida;33755;City;27,97895;-82,76657;727;113003;46234;44198;67027321;36469162;America/New York
A113;Coral Springs;Broward County;FL;Florida;33065 33067 33071 33076;City;26,27119;-80,2706;954;129485;40571;66430;61625913;520928;America/New York
A114;Davie;Broward County;FL;Florida;33024 33312 33314 33317 33324 33325 33326 33328 33330 33331;Town;26,06287;-80,2331;954;100882;33707;59680;90395673;2163582;America/New York
A115;Fort Lauderdale;Broward County;FL;Florida;33301 33302 33303 33304 33305 33306 33307 33308 33309 33310 33311 33312 33315 33316 33318 33320 33329 33334 33335 33336 33337 33338 33339 33340 33345 33346 33348 33349 33355 33359;City;26,12231;-80,14338;954;178590;73446;50778;89672308;4372775;America/New York
A116;Gainesville;Alachua County;FL;Florida;32601 32602 32603 32604 32605 32606 32607 32608 32609 32610 32611 32612 32613 32614 32627 32635 32641 32653 32667;City;29,65163;-82,32483;352;130128;47968;31818;161411152;3017660;America/New York
A117;Hialeah;Miami-Dade County;FL;Florida;33002 33010 33011 33012 33013 33014 33016 33017 33018 33142 33147;City;25,8576;-80,27811;305;237069;69219;29249;55623172;3481216;America/New York
A118;Hollywood;Broward County;FL;Florida;33004 33019 33020 33021 33022 33023 33024 33081 33083 33312 33314 33316;City;26,0112;-80,14949;954;149728;55823;46791;70639073;8937087;America/New York
A119;Jacksonville;Duval County;FL;Florida;32073 32201 32202 32203 32204 32205 32206 32207 32208 32209 32210 32211 32212 32214 32215 32216 32217 32218 32219 32220 32221 32222 32223 32224 32225 32226 32227 32228 32229 32230 32231 32232 32233 32234 32235 32236 32237 32238 32239 32241 32244 32245 32246 32247 32250 32254 32255 32256 32257 32258 32260 32277 32290;City;30,33218;-81,65565;904;868031;318575;46764;1935873371;329424471;America/New York
A120;Lakeland;Polk County;FL;Florida;33801 33802 33803 33804 33805 33806 33807 33809 33810 33811 33813 33815 33868;City;28,03947;-81,9498;863;104401;39376;39706;170700664;23355418;America/New York
A121;Lehigh Acres;Lee County;FL;Florida;33905 33913 33920 33936 33970 33971 33972 33973 33974 33976;CDP;26,62535;-81,6248;941;106747;31831;40226;239916420;3912093;America/New York
A122;Miami;Miami-Dade County;FL;Florida;33101 33102 33107 33109 33111 33114 33116 33119 33121 33124 33125 33126 33127 33128 33129 33130 33131 33132 33133 33134 33135 33136 33137 33138 33139 33142 33144 33145 33146 33147 33148 33149 33150 33151 33152 33153 33159 33163 33164 33188 33195 33197 33199 33206 33231 33233 33234 33238 33239 33242 33243 33245 33247 33255 33256 33257 33261 33265 33266 33269 33280 33283 33296 33299;City;25,77427;-80,19366;305;441003;157347;31051;93204587;51995800;America/New York
A123;Miami Gardens;Miami-Dade County;FL;Florida;33014 33054 33055 33056 33169 33179 33222;City;25,94204;-80,2456;305;113187;31003;38253;47236363;2016214;America/New York
A124;Miramar;Broward County;FL;Florida;33023 33025 33027 33029;City;25,98731;-80,23227;954;137132;38474;65282;76095016;4917826;America/New York
A125;Orlando;Orange County;FL;Florida;32789 32801 32802 32803 32804 32805 32806 32807 32808 32809 32810 32811 32812 32814 32815 32816 32819 32822 32824 32825 32827 32829 32832 32835 32839 32853 32854 32855 32856 32857 32858 32859 32860 32861 32862 32867 32868 32869 32872 32877 32878 32885 32886 32887 32891 32893 32896 32897 32898 32899;City;28,53834;-81,37924;407;270934;105359;42318;272512582;22100434;America/New York
A126;Palm Bay;Brevard County;FL;Florida;32905 32906 32907 32908 32909 32910 32911 32948;City;28,03446;-80,58866;321;107888;37821;43163;170217927;8124203;America/New York
A127;Pembroke Pines;Broward County;FL;Florida;33023 33024 33025 33026 33027 33028 33029 33082 33084 33330 33331 33332;City;26,00315;-80,22394;954;166611;56171;61279;85539498;5033092;America/New York
A128;Pompano Beach;Broward County;FL;Florida;33060 33061 33062 33064 33069 33072 33074 33075 33077 33093 33097;City;26,23786;-80,12477;954;107762;41422;41321;62261002;1737713;America/New York
A129;Port St. Lucie;St. Lucie County;FL;Florida;34945 34952 34953 34957 34982 34983 34984 34985 34986 34987 34988 34990;City;27,29393;-80,35033;772;179413;59221;49813;307920898;4193519;America/New York
A130;Spring Hill;Hernando County;FL;Florida;34601 34604 34606 34607 34608 34609 34611;CDP;28,47689;-82,52546;352;100270;39038;41308;154983928;6194314;America/New York
A131;St. Petersburg;Pinellas County;FL;Florida;33701 33702 33703 33704 33705 33707 33709 33710 33711 33712 33713 33714 33715 33716 33729 33731 33732 33733 33734 33736 33737 33738 33740 33741 33742 33743 33747 33762 33784;City;27,77086;-82,67927;727;257083;105443;45748;159935822;196559588;America/New York
A132;Tallahassee;Leon County;FL;Florida;32301 32302 32303 32304 32305 32306 32307 32308 32309 32310 32311 32312 32313 32314 32315 32316 32317 32318 32395 32399;City;30,43826;-84,28073;850;189907;74388;39681;260089732;8300437;America/New York
A133;Tampa;Hillsborough County;FL;Florida;33601 33602 33603 33604 33605 33606 33607 33608 33609 33610 33611 33612 33613 33614 33615 33616 33617 33619 33620 33621 33622 33623 33629 33630 33631 33633 33634 33637 33646 33647 33650 33651 33655 33660 33661 33662 33663 33664 33672 33673 33674 33675 33677 33679 33680 33681 33682 33684 33685 33686 33687 33688 33689 33694;City;27,94752;-82,45843;813;369075;142232;44185;293748385;160056620;America/New York
A134;West Palm Beach;Palm Beach County;FL;Florida;33401 33402 33405 33406 33407 33409 33411 33412 33416 33417 33419 33420 33421 33422;City;26,71534;-80,05337;561;106779;41474;45800;142798170;6628847;America/New York
A135;Athens;Clarke County;GA;Georgia;30601 30602 30603 30604 30605 30606 30607 30608 30609 30612 30622 30646 30683;Unified Government;33,95219;-83,36715;706;123912;45389;39464;308738452;4741286;America/New York
A136;Atlanta;DeKalb County/Fulton County;GA;Georgia;30301 30302 30303 30305 30306 30307 30308 30309 30310 30311 30312 30313 30314 30315 30316 30317 30318 30319 30320 30321 30324 30325 30326 30327 30330 30331 30332 30334 30342 30343 30348 30353 30354 30355 30357 30358 30362 30363 30368 30370 30371 30375 30377 30378 30380 30384 30385 30386 30387 30388 30389 30390 30392 30394 30396 30398 30399 31106 31107 31119 31126 31131 31136 31139 31141 31145 31146 31150 31156 31191 31192 31193 31195 31196 31197 31198 31199 39901;City;33,76291;-84,42267;678;463878;185820;47527;345684978;2311315;America/New York
A137;Augusta;Richmond County;GA;Georgia;30805 30812 30813 30815 30901 30903 30904 30905 30906 30907 30909 30912 30914 30916 30917 30919 30999;Consolidated Government;33,36149;-82,075;706;201793;73917;39464;840008393;11042219;America/New York
A138;Columbus;Muscogee County;GA;Georgia;31801 31808 31820 31829 31901 31902 31903 31904 31905 31906 31907 31908 31909 31914 31917 31993 31997 31998 31999;City;32,46098;-84,98771;706;200579;72760;42306;560530243;11873622;America/New York
A139;Macon;Bibb County;GA;Georgia;31020 31052 31066 31201 31202 31203 31204 31205 31206 31207 31208 31209 31210 31211 31212 31213 31216 31217 31220 31221 31294 31295 31296 31297;Other;32,80884;-83,69419;478;153515;57025;36568;645603627;14488557;America/New York
A140;Sandy Springs;Fulton County;GA;Georgia;30092 30319 30327 30328 30338 30339 30342 30350;City;33,92427;-84,37854;678;105330;43058;63917;97526360;2245984;America/New York
